address,addressPointId,allContainingTractIds,leafTractId,matchStatus,neighborhood,sourceIds,streetNameNormalized,village
25 STRATHMORE    ,52064742,LH-TRACT-15909;LH-TRACT-15813,LH-TRACT-15909,exact_directory_match,Clifton Heights 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,STRATHMORE,Flintridge
19 STRATHMORE    ,52064745,LH-TRACT-15909;LH-TRACT-15813,LH-TRACT-15909,exact_directory_match,Clifton Heights 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,STRATHMORE,Flintridge
11 STRATHMORE    ,52064748,LH-TRACT-15909;LH-TRACT-15813,LH-TRACT-15909,exact_directory_match,Clifton Heights 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,STRATHMORE,Flintridge
8 STRATHMORE    ,52064771,LH-TRACT-15909;LH-TRACT-15813,LH-TRACT-15909,exact_directory_match,Clifton Heights 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,STRATHMORE,Flintridge
2 STRATHMORE    ,52064774,LH-TRACT-15909;LH-TRACT-15813,LH-TRACT-15909,exact_directory_match,Clifton Heights 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,STRATHMORE,Flintridge
11 SKLAR ST    ,52064805,LH-TRACT-16127;LH-TRACT-16155,LH-TRACT-16127,exact_directory_match,Astoria 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,SKLAR ST,Avendale
18 GOSSAMER PL    ,52064854,LH-TRACT-16104;LH-TRACT-16155,LH-TRACT-16104,exact_directory_match,Tether Moon 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,GOSSAMER PL,Avendale
4 CASTOR CT    ,52064904,LH-TRACT-16104;LH-TRACT-16155,LH-TRACT-16104,exact_directory_match,Tether Moon 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,CASTOR CT,Avendale
7 CANDLEWIND CT    ,52064921,LH-TRACT-16114;LH-TRACT-16025,LH-TRACT-16114,exact_directory_match,Tether Moon 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,CANDLEWIND CT,Avendale
2 CANDLEWIND CT    ,52064924,LH-TRACT-16114;LH-TRACT-16025,LH-TRACT-16114,exact_directory_match,Tether Moon 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,CANDLEWIND CT,Avendale
8 CANDLEWIND CT    ,52064927,LH-TRACT-16114;LH-TRACT-16025,LH-TRACT-16114,exact_directory_match,Tether Moon 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,CANDLEWIND CT,Avendale
7 MERRIWEATHER PL    ,52064938,LH-TRACT-16114;LH-TRACT-16025,LH-TRACT-16114,exact_directory_match,Tether Moon 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,MERRIWEATHER PL,Avendale
28 MASON LN    ,52064941,LH-TRACT-15626;LH-TRACT-15615,LH-TRACT-15626,exact_directory_match,Amberly Lane 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,MASON LN,Oak Knoll
31 AMY WAY    ,52065061,LH-TRACT-16105;LH-TRACT-16155,LH-TRACT-16105,exact_directory_match,Savannah,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,AMY WAY,Avendale
30 SKLAR ST    ,52065064,LH-TRACT-16105;LH-TRACT-16155,LH-TRACT-16105,exact_directory_match,Savannah,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,SKLAR ST,Avendale
20 SKLAR ST    ,52065067,LH-TRACT-16105;LH-TRACT-16155,LH-TRACT-16105,exact_directory_match,Savannah,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,SKLAR ST,Avendale
