county,ranch_or_vat_name,year_listed
Glades,Paradise Park,1932
Glades,Parker's Ranch,1932
Glades,Peeples,1933
Glades,Pine Island,1933
Glades,Platt,1932
Glades,Rock Hill,1946
Glades,Squirrel Island,1933
Glades,Stockade,1933
Glades,Whidden,1933
Glades,Williams No. 2,1946
Glades,Willow,1946
Glades,Woolf,1933
Gulf & Franklin,Lighthouse,1928
Gulf & Franklin,McNeill No. 1,1928
Gulf & Franklin,McNeill No. 2,1928
Gulf & Franklin,St. Joe,1928
Gulf & Franklin,St. Vincent Island,1928
Gulf & Franklin,Two Mile,1928
Hamilton,Alapaha,1927
Hamilton,Allen,1927
Hamilton,Beaty,1927
Hamilton,Betsy,1927
Hamilton,Blair,1927
Hamilton,Bland,1927
Hamilton,Bridges,1927
Hamilton,Brown,1927
Hamilton,Bryant,1927
Hamilton,Bullard,1927
Hamilton,Burman,1927
Hamilton,Burnett,1927
Hamilton,Bush,1927
Hamilton,Byrd,1927
Hamilton,Christie,1927
Hamilton,Christmas,1927
Hamilton,Cone,1927
Hamilton,Corbett,1927
Hamilton,Dees,1927
Hamilton,Green,1927
Hamilton,Hardaman,1927
Hamilton,"Harrison, J. A.",1916
Hamilton,Herndon,1927
Hamilton,Hogan,1927
Hamilton,Hooker Bay,1927
Hamilton,Howell,1927
Hamilton,Hutchinson,1927
Hamilton,Johns,1927
Hamilton,Johnson,1927
Hamilton,Knowles,1927
Hamilton,Lee,1927
Hamilton,Leigh,1927
Hamilton,McCall,1927
Hamilton,McCollum,1927
Hamilton,McGin,1927
Hamilton,Miller,1927
Hamilton,Milton,1927
Hamilton,Mitchell,1927
Hamilton,Newsome,1927
Hamilton,Octahatchee,1927
Hamilton,Roden,1927
Hamilton,Roux,1927
Hamilton,Sandlin,1927
Hamilton,Smith,1927
Hamilton,Starling,1927
Hamilton,Tuten,1927
Hamilton,Webb,1927
Hamilton,Willis,1927
Hardee,Adair,1934
Hardee,Albritton,1934
Hardee,Alderman Cattle Co.,1934
Hardee,Anderson,1934
Hardee,Bird,1934
Hardee,Bryant,1934
Hardee,Cabbage Head,1934
Hardee,"Carlton, Dr.",1934
Hardee,"Carlton, G.S.",1934
Hardee,Collier,1934
Hardee,Cowart,1934
Hardee,Crawford,1934
Hardee,Davis,1934
Hardee,Farrabee,1934
Hardee,Fork,1934
Hardee,Fort Green,1934
Hardee,Friendship,1934
Hardee,Fussell,1934
Hardee,Gill,1934
Hardee,Gill & Roberts,1934
Hardee,Grubhof,1934
Hardee,Harn,1934
Hardee,Kinsey,1934
Hardee,Knight,1934
Hardee,Langford,1934
Hardee,Lanier,1934
Hardee,Mercer,1934
Hardee,Oak Creek,1934
Hardee,Oliff,1934
Hardee,Parnell,1934
Hardee,Rainey,1934
Hardee,Rich,1934
Hardee,"Roberts, M.G.",1934
